0:0:0:0:0:0:0:1 - - [01/Mar/2020:17:41:35 +0530] "GET /Programming_World/notes/cnote.pdf HTTP/1.1" 206 15150
0:0:0:0:0:0:0:1 - - [01/Mar/2020:17:41:35 +0530] "GET /Programming_World/notes/cnote.pdf HTTP/1.1" 206 8192
0:0:0:0:0:0:0:1 - - [01/Mar/2020:17:42:06 +0530] "GET /Programming_World/home1.jsp HTTP/1.1" 200 4417
0:0:0:0:0:0:0:1 - - [01/Mar/2020:17:42:39 +0530] "GET /Programming_World/javasamples.html HTTP/1.1" 200 10735
0:0:0:0:0:0:0:1 - - [01/Mar/2020:17:42:47 +0530] "GET /Programming_World/javasamples/SimpleWordCounter.java HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [01/Mar/2020:17:42:58 +0530] "GET /Programming_World/helloworld.jsp HTTP/1.1" 200 11015
0:0:0:0:0:0:0:1 - - [01/Mar/2020:17:43:12 +0530] "GET /Programming_World/csamples.html HTTP/1.1" 200 8236
0:0:0:0:0:0:0:1 - - [01/Mar/2020:17:43:30 +0530] "GET /Programming_World/Prog-sites.html HTTP/1.1" 200 12477
0:0:0:0:0:0:0:1 - - [01/Mar/2020:17:43:31 +0530] "GET /Programming_World/codecademy.jpg HTTP/1.1" 200 20990
0:0:0:0:0:0:0:1 - - [01/Mar/2020:17:43:31 +0530] "GET /Programming_World/code-school.jpg HTTP/1.1" 200 27342
0:0:0:0:0:0:0:1 - - [01/Mar/2020:17:43:31 +0530] "GET /Programming_World/treehouse.jpg HTTP/1.1" 200 42400
0:0:0:0:0:0:0:1 - - [01/Mar/2020:17:43:31 +0530] "GET /Programming_World/udacity.jpg HTTP/1.1" 200 45857
0:0:0:0:0:0:0:1 - - [01/Mar/2020:17:43:31 +0530] "GET /Programming_World/learnstreet.jpg HTTP/1.1" 200 24053
0:0:0:0:0:0:0:1 - - [01/Mar/2020:17:43:31 +0530] "GET /Programming_World/code-avengers.jpg HTTP/1.1" 200 31917
0:0:0:0:0:0:0:1 - - [01/Mar/2020:17:43:31 +0530] "GET /Programming_World/codehs.jpg HTTP/1.1" 200 36809
0:0:0:0:0:0:0:1 - - [01/Mar/2020:17:43:31 +0530] "GET /Programming_World/khan-academy.jpg HTTP/1.1" 200 28457
0:0:0:0:0:0:0:1 - - [01/Mar/2020:17:43:31 +0530] "GET /Programming_World/scratch_20.jpg HTTP/1.1" 200 43236
0:0:0:0:0:0:0:1 - - [01/Mar/2020:17:43:31 +0530] "GET /Programming_World/sqlzoo.jpg HTTP/1.1" 200 37611
0:0:0:0:0:0:0:1 - - [01/Mar/2020:17:43:34 +0530] "GET /Programming_World/choosetest.html HTTP/1.1" 200 3873
0:0:0:0:0:0:0:1 - - [01/Mar/2020:17:43:34 +0530] "GET /Programming_World/c.png HTTP/1.1" 200 3619
0:0:0:0:0:0:0:1 - - [01/Mar/2020:17:43:34 +0530] "GET /Programming_World/HTML_logo.png HTTP/1.1" 200 40378
0:0:0:0:0:0:0:1 - - [01/Mar/2020:17:43:34 +0530] "GET /Programming_World/css.jpg HTTP/1.1" 200 21136
0:0:0:0:0:0:0:1 - - [01/Mar/2020:17:43:34 +0530] "GET /Programming_World/c++.png HTTP/1.1" 200 89006
0:0:0:0:0:0:0:1 - - [01/Mar/2020:17:43:34 +0530] "GET /Programming_World/lk.png HTTP/1.1" 200 55074
0:0:0:0:0:0:0:1 - - [01/Mar/2020:17:43:34 +0530] "GET /Programming_World/java.png HTTP/1.1" 200 39728
0:0:0:0:0:0:0:1 - - [01/Mar/2020:17:43:46 +0530] "GET /Programming_World/home1.jsp HTTP/1.1" 200 4417
0:0:0:0:0:0:0:1 - - [01/Mar/2020:17:44:01 +0530] "GET /Programming_World/feedback.html HTTP/1.1" 200 3899
0:0:0:0:0:0:0:1 - - [01/Mar/2020:17:44:14 +0530] "GET /Programming_World/feedback.jsp?name=Surajgupta1288&star=5-stars&feedback= HTTP/1.1" 302 -
